group,metric,target,spearman_rho,spearman_p,kendall_tau,kendall_p
overall,snip,val_acc,0.6043478260869565,0.0017613115382687763,0.4565217391304348,0.0014288748272159712
overall,grasp,val_acc,-0.5521739130434782,0.005147076384055002,-0.391304347826087,0.006957485693871034
overall,synflow,val_acc,0.9208695652173912,1.814105894583754e-10,0.7753623188405797,1.481533833685504e-09
overall,fisher,val_acc,0.3678260869565217,0.07699887080183038,0.24637681159420288,0.09679484130838545
overall,jacob_cov,val_acc,-0.35826086956521735,0.0856122550865117,-0.2536231884057971,0.08702802518525976
overall,grad_norm,val_acc,0.49304347826086947,0.014363733768170043,0.3695652173913043,0.011109165337310867
overall,naswot,val_acc,0.8791304347826084,1.5688358711881627e-08,0.7101449275362319,8.278088874909019e-08
overall,vote_score,val_acc,0.7657169348618311,1.2971899140370596e-05,0.5865297042921988,6.409626531973845e-05
overall,snip,val_f1_macro,0.6095652173913042,0.0015662073048269519,0.4565217391304348,0.0014288748272159712
overall,grasp,val_f1_macro,-0.557391304347826,0.004659335734393892,-0.391304347826087,0.006957485693871034
overall,synflow,val_f1_macro,0.9147826086956521,3.982324550120668e-10,0.7753623188405797,1.481533833685504e-09
overall,fisher,val_f1_macro,0.3695652173913043,0.0755060451516858,0.24637681159420288,0.09679484130838545
overall,jacob_cov,val_f1_macro,-0.36,0.08399469645152526,-0.2536231884057971,0.08702802518525976
overall,grad_norm,val_f1_macro,0.497391304347826,0.013398524953480467,0.3695652173913043,0.011109165337310867
overall,naswot,val_f1_macro,0.8765217391304346,1.959333013839187e-08,0.7101449275362319,8.278088874909019e-08
overall,vote_score,val_f1_macro,0.7674572006228807,1.2056735728990678e-05,0.5865297042921988,6.409626531973845e-05
overall,snip,val_mse,-0.5860869565217391,0.0026160096152165226,-0.4492753623188406,0.0017278578267285898
overall,grasp,val_mse,0.528695652173913,0.007905085955029825,0.3695652173913043,0.011109165337310867
overall,synflow,val_mse,-0.9156521739130434,3.5721927946771985e-10,-0.7681159420289855,2.4326513594552694e-09
overall,fisher,val_mse,-0.34695652173913033,0.09670236783045821,-0.2391304347826087,0.10739735584843446
overall,jacob_cov,val_mse,0.4017391304347826,0.05166367606578415,0.28985507246376807,0.04925402223617705
overall,grad_norm,val_mse,-0.4730434782608695,0.019565748655056236,-0.36231884057971014,0.01290450360123228
overall,naswot,val_mse,-0.8817391304347826,1.2497252917320782e-08,-0.717391304347826,5.533481725211741e-08
overall,vote_score,val_mse,-0.7539701409747462,2.0926192353946196e-05,-0.5792436210090658,7.895671317126608e-05
overall,snip,train_time_sec,0.0634782608695652,0.7682424072237529,0.014492753623188406,0.9413463081964002
overall,grasp,train_time_sec,-0.004347826086956522,0.9839134567350358,0.021739130434782608,0.9023967654678942
overall,synflow,train_time_sec,0.2817391304347826,0.1822827700109572,0.24637681159420288,0.09679484130838545
overall,fisher,train_time_sec,-0.06173913043478261,0.7744295754905792,-0.06521739130434782,0.6765261156179087
overall,jacob_cov,train_time_sec,-0.01826086956521739,0.9325072970015154,-0.014492753623188406,0.9413463081964002
overall,grad_norm,train_time_sec,0.01217391304347826,0.9549770846497846,-0.014492753623188406,0.9413463081964002
overall,naswot,train_time_sec,0.35478260869565215,0.08891743107314606,0.2536231884057971,0.08702802518525976
overall,vote_score,train_time_sec,0.14444205816711816,0.5007002872308023,0.10564820760542709,0.4715296341322526
overall,snip,infer_ms_per_sample,0.24086956521739128,0.25687241800841343,0.15942028985507248,0.28955196649018894
overall,grasp,infer_ms_per_sample,-0.21739130434782608,0.3075332105489072,-0.13768115942028986,0.3626613999876752
overall,synflow,infer_ms_per_sample,0.23652173913043475,0.265820294159618,0.17391304347826086,0.24661869116843957
overall,fisher,infer_ms_per_sample,0.2504347826086956,0.23787902276971332,0.18115942028985507,0.22687503195798614
overall,jacob_cov,infer_ms_per_sample,0.27478260869565213,0.19378063586855726,0.15942028985507248,0.28955196649018894
overall,grad_norm,infer_ms_per_sample,0.2434782608695652,0.2515981618428429,0.15942028985507248,0.28955196649018894
overall,naswot,infer_ms_per_sample,0.25478260869565217,0.2295589641942164,0.15217391304347824,0.31275941965675913
overall,vote_score,infer_ms_per_sample,0.256254133314556,0.22678720017297907,0.18579512371988904,0.20544376127428332
